text,label
How many zinc are in beets and is it safe for osteoporosis?,BOTH
How does sardines's zinc level relate to chronic kidney disease?,BOTH
What is the sugar in beef and is it good for arthritis?,BOTH
Is the selenium level in pineapple appropriate for someone with diabetes?,BOTH
What makes duck suitable or unsuitable for gluten intolerance based on its carbohydrates?,BOTH
Is peaches good for anemia? How much zinc does it contain?,BOTH
Should someone with fatty liver disease eat bell peppers given its calories content?,BOTH
Is turkey breast a good source of folate for people with lactose intolerance?,BOTH
What makes pineapple suitable or unsuitable for hypothyroidism based on its calories?,BOTH
Is the sodium content of peanuts beneficial or harmful for osteoporosis?,BOTH
Is the omega-6 fatty acids level in quinoa appropriate for someone with arthritis?,BOTH
What is the omega-6 fatty acids in potatoes and is it good for gluten intolerance?,BOTH
What makes kidney beans suitable or unsuitable for high cholesterol based on its vitamin C?,BOTH
Is the sodium level in grapes appropriate for someone with coronary artery disease?,BOTH
Can quinoa help control rheumatoid arthritis because of its protein?,BOTH
Can lamb help control gluten intolerance because of its total fat?,BOTH
What makes broccoli suitable or unsuitable for heart disease based on its vitamin D?,BOTH
Is tofu recommended for diabetes? What is its protein content per serving?,BOTH
What role does the vitamin C in spinach play for people with celiac disease?,BOTH
Is plain yogurt recommended for kidney disease? What is its sugar content per serving?,BOTH
Is carrots recommended for inflammatory bowel disease? What is its fiber content per serving?,BOTH
Is the omega-6 fatty acids level in olive oil appropriate for someone with hypertension?,BOTH
Can irritable bowel syndrome patients eat whole wheat bread? What is the vitamin C content?,BOTH
Is the sugar content of asparagus beneficial or harmful for insomnia?,BOTH
What makes spinach suitable or unsuitable for metabolic syndrome based on its omega-3 fatty acids?,BOTH
Is the calcium level in blueberries appropriate for someone with acid reflux?,BOTH
What role does the fiber in dark chocolate play for people with anxiety?,BOTH
What role does the phosphorus in mozzarella play for people with heart disease?,BOTH
How does quinoa's vitamin A level relate to rheumatoid arthritis?,BOTH
Is cod high in vitamin B12 and beneficial for anxiety?,BOTH
Should someone with hyperthyroidism eat pinto beans given its sugar content?,BOTH
"For cardiovascular disease management, how much white rice can I eat given its sodium content?",BOTH
Is garlic high in vitamin B12 and beneficial for polycystic ovary syndrome?,BOTH
Is turkey breast a good source of sodium for people with elevated LDL cholesterol?,BOTH
Is chickpeas high in saturated fat and beneficial for gluten intolerance?,BOTH
"For rheumatoid arthritis management, how much cod can I eat given its iron content?",BOTH
Can oats help control gastritis because of its vitamin C?,BOTH
Is pumpkin seeds a good source of vitamin D for people with fatty liver disease?,BOTH
Should someone with chronic kidney disease eat duck given its zinc content?,BOTH
Is a handful of of olive oil too much vitamin A for a metabolic syndrome patient?,BOTH
Does kiwi have enough magnesium to help with fatty liver disease?,BOTH
How does carrots's omega-3 fatty acids level relate to gout?,BOTH
What makes tempeh suitable or unsuitable for high cholesterol based on its magnesium?,BOTH
How does eating cod affect lactose intolerance given its high magnesium content?,BOTH
Is grapes recommended for iron-deficiency anemia? What is its calcium content per serving?,BOTH
Is the fiber content of soybeans beneficial or harmful for gestational diabetes?,BOTH
How much vitamin B12 is in a 3-ounce portion of bell peppers and is that good for kidney disease?,BOTH
"For hyperthyroidism management, how much cottage cheese can I eat given its vitamin D content?",BOTH
How many omega-3 fatty acids are in tempeh and is it safe for hypothyroidism?,BOTH
Should someone with gestational diabetes eat sweet potatoes given its omega-3 fatty acids content?,BOTH
Is almond butter good for gout attacks? How much omega-6 fatty acids does it contain?,BOTH
Can the cholesterol in oranges benefit hyperthyroidism patients?,BOTH
Can the sodium in lobster benefit gout attacks patients?,BOTH
What is the folate in dark chocolate and is it good for type 1 diabetes?,BOTH
How does pumpkin seeds's sodium level relate to metabolic syndrome?,BOTH
How does cod's vitamin C level relate to chronic kidney disease?,BOTH
Can carrots help control hyperthyroidism because of its sugar?,BOTH
What role does the thiamine in garlic play for people with elevated LDL cholesterol?,BOTH
Is whole wheat bread recommended for high cholesterol? What is its niacin content per serving?,BOTH
How does dark chocolate's carbohydrates level relate to hypertension?,BOTH
Is peanut butter recommended for iron-deficiency anemia? What is its phosphorus content per serving?,BOTH
Should someone with insomnia eat pork loin given its omega-6 fatty acids content?,BOTH
Is lentils a good source of cholesterol for people with heart disease?,BOTH
How does eating kidney beans affect gout given its high calories content?,BOTH
Is 200 calories worth of tofu too much niacin for a metabolic syndrome patient?,BOTH
Should someone with gout attacks eat carrots given its riboflavin content?,BOTH
"For depression management, how much black beans can I eat given its omega-3 fatty acids content?",BOTH
What role does the folate in soybeans play for people with depression?,BOTH
What is the protein in spinach and is it good for diabetes?,BOTH
Best foods for managing hyperthyroidism?,HEALTH_ADVICE
Is strawberries recommended or not recommended for iron-deficiency anemia?,HEALTH_ADVICE
What fruits are safe for heart disease patients?,HEALTH_ADVICE
Which foods are beneficial for people with type 2 diabetes?,HEALTH_ADVICE
What fruits are safe for depression patients?,HEALTH_ADVICE
Is a low-carb diet good for type 1 diabetes?,HEALTH_ADVICE
What is the best diet for controlling obesity?,HEALTH_ADVICE
Should I avoid cauliflower if I have anxiety?,HEALTH_ADVICE
Best foods for managing polycystic ovary syndrome?,HEALTH_ADVICE
What is a healthy diet for someone with arthritis?,HEALTH_ADVICE
What is the best diet for controlling high blood pressure?,HEALTH_ADVICE
Are grains good for someone with gestational diabetes?,HEALTH_ADVICE
Should I avoid edamame if I have kidney disease?,HEALTH_ADVICE
Can eating grapes help with fatty liver disease?,HEALTH_ADVICE
Best foods for managing low blood pressure?,HEALTH_ADVICE
Can eating peanut butter help with gout?,HEALTH_ADVICE
Is cucumber recommended or not recommended for gout attacks?,HEALTH_ADVICE
Best foods for managing coronary artery disease?,HEALTH_ADVICE
What is a healthy diet for someone with hyperthyroidism?,HEALTH_ADVICE
What should I eat if I have high cholesterol?,HEALTH_ADVICE
Is it safe to eat whole milk with heart disease?,HEALTH_ADVICE
What proteins are best for a person with irritable bowel syndrome?,HEALTH_ADVICE
Is a low-carb diet good for coronary artery disease?,HEALTH_ADVICE
What vegetables are recommended for osteoporosis?,HEALTH_ADVICE
Is eggs recommended or not recommended for rheumatoid arthritis?,HEALTH_ADVICE
What foods should people with iron-deficiency anemia avoid?,HEALTH_ADVICE
What fruits are safe for rheumatoid arthritis patients?,HEALTH_ADVICE
What is the best diet for controlling polycystic ovary syndrome?,HEALTH_ADVICE
Is quinoa recommended or not recommended for high blood pressure?,HEALTH_ADVICE
What dietary changes help with celiac disease?,HEALTH_ADVICE
What is a healthy diet for someone with osteoporosis?,HEALTH_ADVICE
Is a low-carb diet good for polycystic ovary syndrome?,HEALTH_ADVICE
Is sweet potatoes recommended or not recommended for polycystic ovary syndrome?,HEALTH_ADVICE
Is blueberries recommended or not recommended for hypertension?,HEALTH_ADVICE
Is chicken breast recommended or not recommended for inflammatory bowel disease?,HEALTH_ADVICE
What proteins are best for a person with heart disease?,HEALTH_ADVICE
Which foods are beneficial for people with diabetes?,HEALTH_ADVICE
Is it safe to eat salmon with elevated LDL cholesterol?,HEALTH_ADVICE
What foods should people with gout attacks avoid?,HEALTH_ADVICE
What vegetables are recommended for low blood pressure?,HEALTH_ADVICE
Should someone with gout attacks limit dairy intake?,HEALTH_ADVICE
Can eating cashews help with kidney disease?,HEALTH_ADVICE
What eating habits help manage inflammatory bowel disease?,HEALTH_ADVICE
What proteins are best for a person with hypertension?,HEALTH_ADVICE
Is almond butter recommended or not recommended for cardiovascular disease?,HEALTH_ADVICE
What foods help reduce symptoms of obesity?,HEALTH_ADVICE
How should someone with cardiovascular disease adjust their diet?,HEALTH_ADVICE
What vegetables are recommended for iron-deficiency anemia?,HEALTH_ADVICE
Is it safe to eat tilapia with anxiety?,HEALTH_ADVICE
What eating habits help manage fatty liver disease?,HEALTH_ADVICE
Is oranges recommended or not recommended for gout?,HEALTH_ADVICE
Can eating cabbage help with gout attacks?,HEALTH_ADVICE
Is it safe to eat pineapple with fatty liver disease?,HEALTH_ADVICE
What foods should people with type 1 diabetes avoid?,HEALTH_ADVICE
Can people with iron-deficiency anemia eat kale?,HEALTH_ADVICE
Are there foods that worsen metabolic syndrome?,HEALTH_ADVICE
Can eating green peas help with metabolic syndrome?,HEALTH_ADVICE
What proteins are best for a person with obesity?,HEALTH_ADVICE
Can eating edamame help with celiac disease?,HEALTH_ADVICE
What should I eat if I have metabolic syndrome?,HEALTH_ADVICE
What is a healthy diet for someone with gluten intolerance?,HEALTH_ADVICE
Can eating tuna help with hyperthyroidism?,HEALTH_ADVICE
What is the best diet for controlling rheumatoid arthritis?,HEALTH_ADVICE
Best foods for managing high blood pressure?,HEALTH_ADVICE
Are grains good for someone with coronary artery disease?,HEALTH_ADVICE
Is whole wheat bread recommended or not recommended for hypothyroidism?,HEALTH_ADVICE
What dietary changes help with gastritis?,HEALTH_ADVICE
What is the best diet for controlling hypothyroidism?,HEALTH_ADVICE
Can people with anemia eat peanut butter?,HEALTH_ADVICE
What is a healthy diet for someone with coronary artery disease?,HEALTH_ADVICE
Best foods for managing gout?,HEALTH_ADVICE
Should I avoid lobster if I have insomnia?,HEALTH_ADVICE
Diet recommendations for PCOS patients?,HEALTH_ADVICE
Should I avoid oats if I have hyperthyroidism?,HEALTH_ADVICE
What is the best diet for controlling depression?,HEALTH_ADVICE
Can eating kiwi help with elevated LDL cholesterol?,HEALTH_ADVICE
Which foods are beneficial for people with chronic kidney disease?,HEALTH_ADVICE
How should someone with type 1 diabetes adjust their diet?,HEALTH_ADVICE
What should I eat if I have iron-deficiency anemia?,HEALTH_ADVICE
How does diet affect inflammatory bowel disease?,HEALTH_ADVICE
How should someone with metabolic syndrome adjust their diet?,HEALTH_ADVICE
What vegetables are recommended for insomnia?,HEALTH_ADVICE
Can people with depression eat sweet potatoes?,HEALTH_ADVICE
What is a healthy diet for someone with chronic kidney disease?,HEALTH_ADVICE
What is the best diet for controlling hyperthyroidism?,HEALTH_ADVICE
Should I avoid peanuts if I have gout attacks?,HEALTH_ADVICE
What is the best diet for controlling GERD?,HEALTH_ADVICE
Are grains good for someone with obesity?,HEALTH_ADVICE
What is a healthy diet for someone with depression?,HEALTH_ADVICE
Should I avoid white rice if I have lactose intolerance?,HEALTH_ADVICE
What vegetables are recommended for gout attacks?,HEALTH_ADVICE
Which foods are beneficial for people with low blood pressure?,HEALTH_ADVICE
Is it safe to eat sardines with anemia?,HEALTH_ADVICE
How does diet affect high blood pressure?,HEALTH_ADVICE
Is brown rice recommended or not recommended for kidney disease?,HEALTH_ADVICE
Diet recommendations for metabolic syndrome patients?,HEALTH_ADVICE
Are there foods that worsen rheumatoid arthritis?,HEALTH_ADVICE
What fruits are safe for arthritis patients?,HEALTH_ADVICE
Is a low-carb diet good for gluten intolerance?,HEALTH_ADVICE
Should I avoid lamb if I have fatty liver disease?,HEALTH_ADVICE
Is cheddar cheese recommended or not recommended for anxiety?,HEALTH_ADVICE
How does diet affect cardiovascular disease?,HEALTH_ADVICE
Are there foods that worsen hypothyroidism?,HEALTH_ADVICE
What should I eat if I have arthritis?,HEALTH_ADVICE
Is turkey breast recommended or not recommended for insomnia?,HEALTH_ADVICE
Should someone with inflammatory bowel disease limit dairy intake?,HEALTH_ADVICE
How does diet affect irritable bowel syndrome?,HEALTH_ADVICE
What should I eat if I have gastritis?,HEALTH_ADVICE
Are grains good for someone with insomnia?,HEALTH_ADVICE
Should someone with cardiovascular disease limit dairy intake?,HEALTH_ADVICE
Is it safe to eat kiwi with coronary artery disease?,HEALTH_ADVICE
What proteins are best for a person with polycystic ovary syndrome?,HEALTH_ADVICE
What dietary changes help with gestational diabetes?,HEALTH_ADVICE
Can eating spinach help with type 2 diabetes?,HEALTH_ADVICE
Are grains good for someone with cardiovascular disease?,HEALTH_ADVICE
Are there foods that worsen heart disease?,HEALTH_ADVICE
Should someone with type 2 diabetes limit dairy intake?,HEALTH_ADVICE
Best foods for managing high cholesterol?,HEALTH_ADVICE
What foods should people with chronic kidney disease avoid?,HEALTH_ADVICE
What should I eat if I have type 2 diabetes?,HEALTH_ADVICE
Is almonds recommended or not recommended for gout attacks?,HEALTH_ADVICE
Are there foods that worsen depression?,HEALTH_ADVICE
What dietary changes help with coronary artery disease?,HEALTH_ADVICE
What snacks are suitable for someone with anemia?,HEALTH_ADVICE
How does diet affect low blood pressure?,HEALTH_ADVICE
Can people with rheumatoid arthritis eat coconut oil?,HEALTH_ADVICE
Can people with gastritis eat spinach?,HEALTH_ADVICE
What fruits are safe for iron-deficiency anemia patients?,HEALTH_ADVICE
What is a healthy diet for someone with low blood pressure?,HEALTH_ADVICE
What fruits are safe for inflammatory bowel disease patients?,HEALTH_ADVICE
Are grains good for someone with rheumatoid arthritis?,HEALTH_ADVICE
What foods help reduce symptoms of inflammatory bowel disease?,HEALTH_ADVICE
Can people with low blood pressure eat duck?,HEALTH_ADVICE
How should someone with type 2 diabetes adjust their diet?,HEALTH_ADVICE
What dietary changes help with GERD?,HEALTH_ADVICE
Can people with polycystic ovary syndrome eat pumpkin seeds?,HEALTH_ADVICE
What fruits are safe for elevated LDL cholesterol patients?,HEALTH_ADVICE
What is a healthy diet for someone with diabetes?,HEALTH_ADVICE
Can people with lactose intolerance eat cabbage?,HEALTH_ADVICE
What proteins are best for a person with gestational diabetes?,HEALTH_ADVICE
What foods help reduce symptoms of osteoporosis?,HEALTH_ADVICE
Can people with GERD eat tuna?,HEALTH_ADVICE
Which foods are beneficial for people with polycystic ovary syndrome?,HEALTH_ADVICE
Should I avoid tofu if I have gestational diabetes?,HEALTH_ADVICE
Is a low-carb diet good for depression?,HEALTH_ADVICE
Best foods for managing elevated LDL cholesterol?,HEALTH_ADVICE
Can eating tofu help with arthritis?,HEALTH_ADVICE
What fruits are safe for type 1 diabetes patients?,HEALTH_ADVICE
How does diet affect insomnia?,HEALTH_ADVICE
Should I avoid Greek yogurt if I have fatty liver disease?,HEALTH_ADVICE
Can eating blueberries help with type 1 diabetes?,HEALTH_ADVICE
What is the best diet for controlling type 2 diabetes?,HEALTH_ADVICE
Is tempeh recommended or not recommended for depression?,HEALTH_ADVICE
Are there foods that worsen inflammatory bowel disease?,HEALTH_ADVICE
What eating habits help manage gestational diabetes?,HEALTH_ADVICE
Is a low-carb diet good for low blood pressure?,HEALTH_ADVICE
What should I eat if I have type 1 diabetes?,HEALTH_ADVICE
Which foods are beneficial for people with gastritis?,HEALTH_ADVICE
What eating habits help manage osteoporosis?,HEALTH_ADVICE
What vegetables are recommended for elevated LDL cholesterol?,HEALTH_ADVICE
Diet recommendations for lactose intolerance patients?,HEALTH_ADVICE
Diet recommendations for low blood pressure patients?,HEALTH_ADVICE
Best foods for managing inflammatory bowel disease?,HEALTH_ADVICE
What dietary changes help with diabetes?,HEALTH_ADVICE
What snacks are suitable for someone with type 1 diabetes?,HEALTH_ADVICE
Can eating pork loin help with cardiovascular disease?,HEALTH_ADVICE
What proteins are best for a person with elevated LDL cholesterol?,HEALTH_ADVICE
Is bananas recommended or not recommended for metabolic syndrome?,HEALTH_ADVICE
Is olive oil recommended or not recommended for gestational diabetes?,HEALTH_ADVICE
Is a low-carb diet good for elevated LDL cholesterol?,HEALTH_ADVICE
What is a healthy diet for someone with iron-deficiency anemia?,HEALTH_ADVICE
How does diet affect coronary artery disease?,HEALTH_ADVICE
Best foods for managing gastritis?,HEALTH_ADVICE
Should I avoid peanuts if I have arthritis?,HEALTH_ADVICE
Are grains good for someone with metabolic syndrome?,HEALTH_ADVICE
How does diet affect kidney disease?,HEALTH_ADVICE
How does diet affect hypertension?,HEALTH_ADVICE
What snacks are suitable for someone with polycystic ovary syndrome?,HEALTH_ADVICE
What proteins are best for a person with lactose intolerance?,HEALTH_ADVICE
Is mango recommended or not recommended for coronary artery disease?,HEALTH_ADVICE
Are there foods that worsen gluten intolerance?,HEALTH_ADVICE
What dietary changes help with fatty liver disease?,HEALTH_ADVICE
Which foods are beneficial for people with type 1 diabetes?,HEALTH_ADVICE
What is the best diet for controlling irritable bowel syndrome?,HEALTH_ADVICE
How does diet affect iron-deficiency anemia?,HEALTH_ADVICE
Is it safe to eat bell peppers with fatty liver disease?,HEALTH_ADVICE
Is olive oil recommended or not recommended for gastritis?,HEALTH_ADVICE
What foods help reduce symptoms of low blood pressure?,HEALTH_ADVICE
Best foods for managing type 1 diabetes?,HEALTH_ADVICE
What vegetables are recommended for cardiovascular disease?,HEALTH_ADVICE
What foods should people with low blood pressure avoid?,HEALTH_ADVICE
Is a low-carb diet good for hypertension?,HEALTH_ADVICE
What is the best diet for controlling osteoporosis?,HEALTH_ADVICE
How does diet affect obesity?,HEALTH_ADVICE
What proteins are best for a person with low blood pressure?,HEALTH_ADVICE
What eating habits help manage GERD?,HEALTH_ADVICE
What foods help reduce symptoms of arthritis?,HEALTH_ADVICE
Diet recommendations for osteoporosis patients?,HEALTH_ADVICE
Is whole milk recommended or not recommended for fatty liver disease?,HEALTH_ADVICE
Should I avoid pasta if I have fatty liver disease?,HEALTH_ADVICE
Is a low-carb diet good for inflammatory bowel disease?,HEALTH_ADVICE
Should I avoid edamame if I have PCOS?,HEALTH_ADVICE
Can people with gestational diabetes eat cucumber?,HEALTH_ADVICE
How should someone with coronary artery disease adjust their diet?,HEALTH_ADVICE
Is coconut oil recommended or not recommended for fatty liver disease?,HEALTH_ADVICE
What snacks are suitable for someone with gastritis?,HEALTH_ADVICE
Are there foods that worsen elevated LDL cholesterol?,HEALTH_ADVICE
What foods help reduce symptoms of lactose intolerance?,HEALTH_ADVICE
What dietary changes help with type 2 diabetes?,HEALTH_ADVICE
What fruits are safe for hypothyroidism patients?,HEALTH_ADVICE
Can eating cheddar cheese help with kidney disease?,HEALTH_ADVICE
What snacks are suitable for someone with iron-deficiency anemia?,HEALTH_ADVICE
What fruits are safe for diabetes patients?,HEALTH_ADVICE
Best foods for managing gout attacks?,HEALTH_ADVICE
What proteins are best for a person with arthritis?,HEALTH_ADVICE
Can people with elevated LDL cholesterol eat spinach?,HEALTH_ADVICE
Is plain yogurt recommended or not recommended for elevated LDL cholesterol?,HEALTH_ADVICE
What foods help reduce symptoms of elevated LDL cholesterol?,HEALTH_ADVICE
Can people with lactose intolerance eat skim milk?,HEALTH_ADVICE
What foods help reduce symptoms of insomnia?,HEALTH_ADVICE
Can people with insomnia eat blueberries?,HEALTH_ADVICE
Should I avoid whole milk if I have hypertension?,HEALTH_ADVICE
Are there foods that worsen chronic kidney disease?,HEALTH_ADVICE
What proteins are best for a person with coronary artery disease?,HEALTH_ADVICE
What dietary changes help with anemia?,HEALTH_ADVICE
How does diet affect heart disease?,HEALTH_ADVICE
What vegetables are recommended for high blood pressure?,HEALTH_ADVICE
Can eating grapes help with depression?,HEALTH_ADVICE
Are grains good for someone with anxiety?,HEALTH_ADVICE
What fruits are safe for insomnia patients?,HEALTH_ADVICE
Are there foods that worsen low blood pressure?,HEALTH_ADVICE
Can eating grapes help with anemia?,HEALTH_ADVICE
Should I avoid edamame if I have fatty liver disease?,HEALTH_ADVICE
What dietary changes help with insomnia?,HEALTH_ADVICE
How does diet affect acid reflux?,HEALTH_ADVICE
What is the best diet for controlling inflammatory bowel disease?,HEALTH_ADVICE
What is a healthy diet for someone with irritable bowel syndrome?,HEALTH_ADVICE
What should I eat if I have anxiety?,HEALTH_ADVICE
What foods should people with high cholesterol avoid?,HEALTH_ADVICE
Which foods are beneficial for people with arthritis?,HEALTH_ADVICE
Is a low-carb diet good for hypothyroidism?,HEALTH_ADVICE
What eating habits help manage acid reflux?,HEALTH_ADVICE
Should someone with osteoporosis limit dairy intake?,HEALTH_ADVICE
What dietary changes help with high blood pressure?,HEALTH_ADVICE
How should someone with depression adjust their diet?,HEALTH_ADVICE
Which foods are beneficial for people with fatty liver disease?,HEALTH_ADVICE
What snacks are suitable for someone with gluten intolerance?,HEALTH_ADVICE
Can eating cheddar cheese help with celiac disease?,HEALTH_ADVICE
Should I avoid lamb if I have iron-deficiency anemia?,HEALTH_ADVICE
What snacks are suitable for someone with high blood pressure?,HEALTH_ADVICE
Is it safe to eat pineapple with celiac disease?,HEALTH_ADVICE
Is mushrooms recommended or not recommended for hyperthyroidism?,HEALTH_ADVICE
What eating habits help manage arthritis?,HEALTH_ADVICE
Is a low-carb diet good for obesity?,HEALTH_ADVICE
Is a low-carb diet good for acid reflux?,HEALTH_ADVICE
Should I avoid white bread if I have celiac disease?,HEALTH_ADVICE
What proteins are best for a person with high cholesterol?,HEALTH_ADVICE
Which foods are beneficial for people with acid reflux?,HEALTH_ADVICE
Can people with elevated LDL cholesterol eat tilapia?,HEALTH_ADVICE
Are grains good for someone with acid reflux?,HEALTH_ADVICE
What eating habits help manage heart disease?,HEALTH_ADVICE
What foods should people with diabetes avoid?,HEALTH_ADVICE
Can eating white bread help with osteoporosis?,HEALTH_ADVICE
Are grains good for someone with inflammatory bowel disease?,HEALTH_ADVICE
What foods help reduce symptoms of type 1 diabetes?,HEALTH_ADVICE
Is broccoli recommended or not recommended for kidney disease?,HEALTH_ADVICE
What should I eat if I have hypertension?,HEALTH_ADVICE
What proteins are best for a person with depression?,HEALTH_ADVICE
What is a healthy diet for someone with polycystic ovary syndrome?,HEALTH_ADVICE
Is it safe to eat garlic with depression?,HEALTH_ADVICE
Are there foods that worsen hyperthyroidism?,HEALTH_ADVICE
Is a low-carb diet good for chronic kidney disease?,HEALTH_ADVICE
Should I avoid cottage cheese if I have hypertension?,HEALTH_ADVICE
Which foods are beneficial for people with high cholesterol?,HEALTH_ADVICE
How should someone with high blood pressure adjust their diet?,HEALTH_ADVICE
What vegetables are recommended for hyperthyroidism?,HEALTH_ADVICE
Best foods for managing rheumatoid arthritis?,HEALTH_ADVICE
What foods should people with gastritis avoid?,HEALTH_ADVICE
Is tilapia recommended or not recommended for anxiety?,HEALTH_ADVICE
Can eating pineapple help with lactose intolerance?,HEALTH_ADVICE
Is it safe to eat cabbage with metabolic syndrome?,HEALTH_ADVICE
Best foods for managing fatty liver disease?,HEALTH_ADVICE
Should I avoid flaxseeds if I have low blood pressure?,HEALTH_ADVICE
What should I eat if I have elevated LDL cholesterol?,HEALTH_ADVICE
Diet recommendations for hypertension patients?,HEALTH_ADVICE
What is a healthy diet for someone with type 1 diabetes?,HEALTH_ADVICE
What foods should people with celiac disease avoid?,HEALTH_ADVICE
Diet recommendations for insomnia patients?,HEALTH_ADVICE
Should someone with heart disease limit dairy intake?,HEALTH_ADVICE
Can eating pumpkin seeds help with anxiety?,HEALTH_ADVICE
What eating habits help manage type 1 diabetes?,HEALTH_ADVICE
How should someone with hypertension adjust their diet?,HEALTH_ADVICE
Can people with gout eat shrimp?,HEALTH_ADVICE
What dietary changes help with acid reflux?,HEALTH_ADVICE
Is a low-carb diet good for irritable bowel syndrome?,HEALTH_ADVICE
Can eating mushrooms help with inflammatory bowel disease?,HEALTH_ADVICE
Which foods are beneficial for people with lactose intolerance?,HEALTH_ADVICE
What fruits are safe for celiac disease patients?,HEALTH_ADVICE
Is it safe to eat walnuts with osteoporosis?,HEALTH_ADVICE
How should someone with low blood pressure adjust their diet?,HEALTH_ADVICE
Should someone with gestational diabetes limit dairy intake?,HEALTH_ADVICE
Are grains good for someone with heart disease?,HEALTH_ADVICE
What should I eat if I have inflammatory bowel disease?,HEALTH_ADVICE
What foods should people with acid reflux avoid?,HEALTH_ADVICE
What vegetables are recommended for gestational diabetes?,HEALTH_ADVICE
What proteins are best for a person with fatty liver disease?,HEALTH_ADVICE
Should someone with depression limit dairy intake?,HEALTH_ADVICE
Is sunflower seeds recommended or not recommended for iron-deficiency anemia?,HEALTH_ADVICE
Diet recommendations for high cholesterol patients?,HEALTH_ADVICE
Best foods for managing metabolic syndrome?,HEALTH_ADVICE
Is lobster recommended or not recommended for elevated LDL cholesterol?,HEALTH_ADVICE
What is the best diet for controlling celiac disease?,HEALTH_ADVICE
Are there foods that worsen gout attacks?,HEALTH_ADVICE
What should I eat if I have gout attacks?,HEALTH_ADVICE
Is it safe to eat carrots with diabetes?,HEALTH_ADVICE
What foods should people with lactose intolerance avoid?,HEALTH_ADVICE
Are grains good for someone with gout?,HEALTH_ADVICE
Are there foods that worsen coronary artery disease?,HEALTH_ADVICE
What eating habits help manage elevated LDL cholesterol?,HEALTH_ADVICE
What snacks are suitable for someone with high cholesterol?,HEALTH_ADVICE
What fruits are safe for high blood pressure patients?,HEALTH_ADVICE
Should I avoid spinach if I have fatty liver disease?,HEALTH_ADVICE
What dietary changes help with PCOS?,HEALTH_ADVICE
Can people with high cholesterol eat green peas?,HEALTH_ADVICE
How does diet affect high cholesterol?,HEALTH_ADVICE
What snacks are suitable for someone with hyperthyroidism?,HEALTH_ADVICE
Are grains good for someone with gout attacks?,HEALTH_ADVICE
How should someone with rheumatoid arthritis adjust their diet?,HEALTH_ADVICE
What dietary changes help with hyperthyroidism?,HEALTH_ADVICE
What eating habits help manage anemia?,HEALTH_ADVICE
What is a healthy diet for someone with gout?,HEALTH_ADVICE
Diet recommendations for cardiovascular disease patients?,HEALTH_ADVICE
What should I eat if I have hyperthyroidism?,HEALTH_ADVICE
What foods should people with fatty liver disease avoid?,HEALTH_ADVICE
How does diet affect diabetes?,HEALTH_ADVICE
What foods should people with type 2 diabetes avoid?,HEALTH_ADVICE
What eating habits help manage rheumatoid arthritis?,HEALTH_ADVICE
What is the best diet for controlling gout attacks?,HEALTH_ADVICE
How does diet affect osteoporosis?,HEALTH_ADVICE
Diet recommendations for fatty liver disease patients?,HEALTH_ADVICE
Which foods are beneficial for people with irritable bowel syndrome?,HEALTH_ADVICE
What fruits are safe for hypertension patients?,HEALTH_ADVICE
Can people with anxiety eat oats?,HEALTH_ADVICE
What foods help reduce symptoms of depression?,HEALTH_ADVICE
Can eating coconut oil help with anemia?,HEALTH_ADVICE
What foods help reduce symptoms of cardiovascular disease?,HEALTH_ADVICE
What eating habits help manage kidney disease?,HEALTH_ADVICE
Best foods for managing osteoporosis?,HEALTH_ADVICE
What eating habits help manage gout?,HEALTH_ADVICE
Can eating cottage cheese help with diabetes?,HEALTH_ADVICE
Are there foods that worsen high cholesterol?,HEALTH_ADVICE
Can people with high blood pressure eat kiwi?,HEALTH_ADVICE
What fruits are safe for type 2 diabetes patients?,HEALTH_ADVICE
Can people with hypertension eat grapes?,HEALTH_ADVICE
Can eating beets help with gestational diabetes?,HEALTH_ADVICE
Are there foods that worsen lactose intolerance?,HEALTH_ADVICE
What is the best diet for controlling anxiety?,HEALTH_ADVICE
Should I avoid chicken breast if I have kidney disease?,HEALTH_ADVICE
What dietary changes help with elevated LDL cholesterol?,HEALTH_ADVICE
What is a healthy diet for someone with high cholesterol?,HEALTH_ADVICE
What snacks are suitable for someone with heart disease?,HEALTH_ADVICE
What is the best diet for controlling fatty liver disease?,HEALTH_ADVICE
What proteins are best for a person with celiac disease?,HEALTH_ADVICE
What dietary changes help with hypertension?,HEALTH_ADVICE
Can eating sardines help with PCOS?,HEALTH_ADVICE
What vegetables are recommended for anxiety?,HEALTH_ADVICE
Is eggs recommended or not recommended for inflammatory bowel disease?,HEALTH_ADVICE
How does diet affect gastritis?,HEALTH_ADVICE
Is onions recommended or not recommended for metabolic syndrome?,HEALTH_ADVICE
Can eating pineapple help with gout?,HEALTH_ADVICE
What vegetables are recommended for gastritis?,HEALTH_ADVICE
What dietary changes help with obesity?,HEALTH_ADVICE
What should I eat if I have low blood pressure?,HEALTH_ADVICE
Are there foods that worsen anxiety?,HEALTH_ADVICE
What is a healthy diet for someone with high blood pressure?,HEALTH_ADVICE
What foods should people with cardiovascular disease avoid?,HEALTH_ADVICE
What proteins are best for a person with metabolic syndrome?,HEALTH_ADVICE
What snacks are suitable for someone with GERD?,HEALTH_ADVICE
Is mozzarella recommended or not recommended for celiac disease?,HEALTH_ADVICE
How does diet affect arthritis?,HEALTH_ADVICE
Is a low-carb diet good for rheumatoid arthritis?,HEALTH_ADVICE
