question,intent_label
What vegetables are recommended for anxiety?,HEALTH_ADVICE
How many calories calories does peaches have?,NUTRITION_LOOKUP
Give me the folate value for a medium portion of whole wheat bread.,NUTRITION_LOOKUP
Can cabbage help control depression because of its sugar?,BOTH
What makes tempeh suitable or unsuitable for heart disease based on its carbohydrates?,BOTH
What foods should people with celiac disease avoid?,HEALTH_ADVICE
Does chia seeds have a lot of folate?,NUTRITION_LOOKUP
What is the nutritional value of cottage cheese in terms of sodium?,NUTRITION_LOOKUP
What snacks are suitable for someone with iron-deficiency anemia?,HEALTH_ADVICE
Should I avoid edamame if I have fatty liver disease?,HEALTH_ADVICE
Is the cholesterol level in pumpkin seeds appropriate for someone with gout attacks?,BOTH
Is a 3-ounce portion of tempeh too much vitamin C for a celiac disease patient?,BOTH
How much selenium is in a small bowl of green peas and is that good for inflammatory bowel disease?,BOTH
How many cholesterol calories does whole wheat bread have?,NUTRITION_LOOKUP
Is tilapia recommended or not recommended for anxiety?,HEALTH_ADVICE
Is the sodium content of peanuts beneficial or harmful for osteoporosis?,BOTH
Can apples help control chronic kidney disease because of its vitamin C?,BOTH
Is it safe to eat cabbage with metabolic syndrome?,HEALTH_ADVICE
Is a low-carb diet good for coronary artery disease?,HEALTH_ADVICE
Does cod have a lot of carbohydrates?,NUTRITION_LOOKUP
What proteins are best for a person with polycystic ovary syndrome?,HEALTH_ADVICE
How much selenium is in a 150g portion of almonds and is that good for type 1 diabetes?,BOTH
What are the total fat levels in pork loin?,NUTRITION_LOOKUP
What is the omega-6 fatty acids content of sardines?,NUTRITION_LOOKUP
"For chronic kidney disease management, how much barley can I eat given its calories content?",BOTH
Is a low-carb diet good for chronic kidney disease?,HEALTH_ADVICE
How much carbohydrates is there in two tablespoons of blueberries?,NUTRITION_LOOKUP
Is strawberries a good source of carbohydrates for people with hyperthyroidism?,BOTH
What snacks are suitable for someone with hyperthyroidism?,HEALTH_ADVICE
Is the phosphorus content of coconut oil beneficial or harmful for hyperthyroidism?,BOTH
I need the cholesterol count for mozzarella.,NUTRITION_LOOKUP
How does diet affect acid reflux?,HEALTH_ADVICE
What snacks are suitable for someone with anemia?,HEALTH_ADVICE
What makes blueberries suitable or unsuitable for chronic kidney disease based on its cholesterol?,BOTH
Give me the niacin value for 100 grams of olive oil.,NUTRITION_LOOKUP
What is the calcium macro for chicken breast?,NUTRITION_LOOKUP
How many grams of fiber are in dark chocolate?,NUTRITION_LOOKUP
What fruits are safe for heart disease patients?,HEALTH_ADVICE
Should someone with gout limit dairy intake?,HEALTH_ADVICE
Are grains good for someone with rheumatoid arthritis?,HEALTH_ADVICE
Is the potassium content of cheddar cheese beneficial or harmful for anxiety?,BOTH
What fruits are safe for obesity patients?,HEALTH_ADVICE
Can people with gestational diabetes eat cucumber?,HEALTH_ADVICE
Is chicken breast recommended or not recommended for inflammatory bowel disease?,HEALTH_ADVICE
Should someone with coronary artery disease eat turkey breast given its carbohydrates content?,BOTH
What snacks are suitable for someone with heart disease?,HEALTH_ADVICE
How much riboflavin does garlic contain per serving?,NUTRITION_LOOKUP
Is soybeans good for coronary artery disease? How much sugar does it contain?,BOTH
How rich is coconut oil in sugar?,NUTRITION_LOOKUP
Which foods are beneficial for people with iron-deficiency anemia?,HEALTH_ADVICE
Can chronic kidney disease patients eat mushrooms? What is the cholesterol content?,BOTH
What role does the thiamine in Greek yogurt play for people with polycystic ovary syndrome?,BOTH
Is brown rice high in calories?,NUTRITION_LOOKUP
What dietary changes help with irritable bowel syndrome?,HEALTH_ADVICE
Is the omega-6 fatty acids content of cauliflower beneficial or harmful for insomnia?,BOTH
Can chickpeas help control gastritis because of its potassium?,BOTH
Is cottage cheese a good source of saturated fat for people with gestational diabetes?,BOTH
"For high blood pressure management, how much tempeh can I eat given its cholesterol content?",BOTH
What percentage of daily total fat is in flaxseeds?,NUTRITION_LOOKUP
Give me the calcium value for one ounce of beets.,NUTRITION_LOOKUP
How much saturated fat is there in one piece of asparagus?,NUTRITION_LOOKUP
Does spinach have enough vitamin C to help with kidney disease?,BOTH
What makes duck suitable or unsuitable for gluten intolerance based on its carbohydrates?,BOTH
How many omega-6 fatty acids calories does almonds have?,NUTRITION_LOOKUP
Are there foods that worsen type 1 diabetes?,HEALTH_ADVICE
Should someone with osteoporosis limit dairy intake?,HEALTH_ADVICE
Can the fiber in kale benefit diabetes patients?,BOTH
What is a healthy diet for someone with gout?,HEALTH_ADVICE
What are the total fat levels in garlic?,NUTRITION_LOOKUP
How many iron are in a 150g portion of white rice?,NUTRITION_LOOKUP
Is lobster high in niacin?,NUTRITION_LOOKUP
What is the nutritional value of soybeans in terms of total fat?,NUTRITION_LOOKUP
Give me the vitamin C value for 100g of broccoli.,NUTRITION_LOOKUP
What snacks are suitable for someone with cardiovascular disease?,HEALTH_ADVICE
Can cottage cheese help control insomnia because of its folate?,BOTH
What is the vitamin B12 breakdown for cashews?,NUTRITION_LOOKUP
I need the cholesterol count for soybeans.,NUTRITION_LOOKUP
How many saturated fat are in one cup of skim milk?,NUTRITION_LOOKUP
Should someone with gout attacks eat carrots given its riboflavin content?,BOTH
What eating habits help manage acid reflux?,HEALTH_ADVICE
How should someone with gout adjust their diet?,HEALTH_ADVICE
How does diet affect celiac disease?,HEALTH_ADVICE
I need the magnesium count for asparagus.,NUTRITION_LOOKUP
How much phosphorus does shrimp contain per serving?,NUTRITION_LOOKUP
Is crab a good source of vitamin A for people with low blood pressure?,BOTH
How much vitamin B12 is there in a medium portion of lentils?,NUTRITION_LOOKUP
Best foods for managing gout?,HEALTH_ADVICE
Is one cup of cashews too much calcium for a insomnia patient?,BOTH
How many grams of thiamine are in cabbage?,NUTRITION_LOOKUP
Is white rice a good source of potassium for people with iron-deficiency anemia?,BOTH
What proteins are best for a person with coronary artery disease?,HEALTH_ADVICE
"For gout attacks management, how much green peas can I eat given its total fat content?",BOTH
How much omega-3 fatty acids is in two tablespoons of salmon and is that good for anxiety?,BOTH
What foods help reduce symptoms of chronic kidney disease?,HEALTH_ADVICE
Is carrots good for coronary artery disease? How much phosphorus does it contain?,BOTH
Can eating sardines help with PCOS?,HEALTH_ADVICE
How many omega-6 fatty acids are in eggs and is it safe for gestational diabetes?,BOTH
I need the magnesium count for cod.,NUTRITION_LOOKUP
Are there foods that worsen GERD?,HEALTH_ADVICE
How many calcium calories does salmon have?,NUTRITION_LOOKUP
How rich is whole wheat bread in vitamin B12?,NUTRITION_LOOKUP
What makes pineapple suitable or unsuitable for hypothyroidism based on its calories?,BOTH
Can eating tuna help with hyperthyroidism?,HEALTH_ADVICE
How does the vitamin D in coconut oil compare to the daily requirement?,NUTRITION_LOOKUP
How many saturated fat calories does cabbage have?,NUTRITION_LOOKUP
Is grapes recommended for iron-deficiency anemia? What is its calcium content per serving?,BOTH
Should I avoid white rice if I have lactose intolerance?,HEALTH_ADVICE
Does plain yogurt have a lot of fiber?,NUTRITION_LOOKUP
Is it safe to eat kale with high blood pressure?,HEALTH_ADVICE
Is a low-carb diet good for heart disease?,HEALTH_ADVICE
What dietary changes help with type 2 diabetes?,HEALTH_ADVICE
What is a healthy diet for someone with depression?,HEALTH_ADVICE
What is a healthy diet for someone with iron-deficiency anemia?,HEALTH_ADVICE
Can elevated LDL cholesterol patients eat onions? What is the vitamin B12 content?,BOTH
Give me the saturated fat value for half a cup of plain yogurt.,NUTRITION_LOOKUP
What foods should people with cardiovascular disease avoid?,HEALTH_ADVICE
What is the exact sugar in one tablespoon beef?,NUTRITION_LOOKUP
How much vitamin A does walnuts contain per serving?,NUTRITION_LOOKUP
Is flaxseeds recommended for low blood pressure? What is its carbohydrates content per serving?,BOTH
What fruits are safe for high blood pressure patients?,HEALTH_ADVICE
Is lamb recommended for heart disease? What is its riboflavin content per serving?,BOTH
What is the omega-6 fatty acids in cottage cheese and is it good for coronary artery disease?,BOTH
Best foods for managing gastritis?,HEALTH_ADVICE
How many iron are in half a cup of duck?,NUTRITION_LOOKUP
What makes dark chocolate suitable or unsuitable for gout attacks based on its potassium?,BOTH
How does the saturated fat in bananas compare to the daily requirement?,NUTRITION_LOOKUP
Is the phosphorus content of beef beneficial or harmful for elevated LDL cholesterol?,BOTH
Is the omega-6 fatty acids level in olive oil appropriate for someone with hypertension?,BOTH
What is the nutritional value of butter in terms of omega-3 fatty acids?,NUTRITION_LOOKUP
What role does the vitamin C in olive oil play for people with depression?,BOTH
Give me the sodium value for one piece of coconut oil.,NUTRITION_LOOKUP
What are the vitamin B12 levels in chia seeds?,NUTRITION_LOOKUP
Is whole milk recommended or not recommended for fatty liver disease?,HEALTH_ADVICE
How rich is lamb in carbohydrates?,NUTRITION_LOOKUP
Is salmon good for elevated LDL cholesterol? How much vitamin B12 does it contain?,BOTH
What are the carbohydrates levels in tempeh?,NUTRITION_LOOKUP
What is a healthy diet for someone with kidney disease?,HEALTH_ADVICE
I need the carbohydrates count for Greek yogurt.,NUTRITION_LOOKUP
How much sugar is there in one piece of walnuts?,NUTRITION_LOOKUP
What is the cholesterol macro for tilapia?,NUTRITION_LOOKUP
How many sodium are in two tablespoons of cabbage?,NUTRITION_LOOKUP
Can celiac disease patients eat pasta? What is the magnesium content?,BOTH
Best foods for managing polycystic ovary syndrome?,HEALTH_ADVICE
I need the sodium count for bananas.,NUTRITION_LOOKUP
Is coconut oil a good source of sodium for people with acid reflux?,BOTH
Is oranges recommended for irritable bowel syndrome? What is its thiamine content per serving?,BOTH
What is the nutritional value of tilapia in terms of vitamin C?,NUTRITION_LOOKUP
What dietary changes help with acid reflux?,HEALTH_ADVICE
How rich is asparagus in calories?,NUTRITION_LOOKUP
What snacks are suitable for someone with depression?,HEALTH_ADVICE
I need the saturated fat count for grapes.,NUTRITION_LOOKUP
Are there foods that worsen depression?,HEALTH_ADVICE
Does strawberries have a lot of phosphorus?,NUTRITION_LOOKUP
Is soybeans recommended for elevated LDL cholesterol? What is its phosphorus content per serving?,BOTH
What is the total zinc per one ounce of cashews?,NUTRITION_LOOKUP
How does the protein in sweet potatoes compare to the daily requirement?,NUTRITION_LOOKUP
How many selenium calories does sweet potatoes have?,NUTRITION_LOOKUP
How much calcium is there in a handful of of duck?,NUTRITION_LOOKUP
Is the sodium level in apples appropriate for someone with acid reflux?,BOTH
How much niacin is there in a medium portion of pasta?,NUTRITION_LOOKUP
How many zinc are in half a cup of peanut butter?,NUTRITION_LOOKUP
How rich is quinoa in vitamin B12?,NUTRITION_LOOKUP
What is the sugar in beef and is it good for arthritis?,BOTH
What is the omega-3 fatty acids content of sardines?,NUTRITION_LOOKUP
How does eating sunflower seeds affect hypertension given its high fiber content?,BOTH
Give me the omega-6 fatty acids value for one tablespoon of avocado.,NUTRITION_LOOKUP
Does broccoli have a lot of carbohydrates?,NUTRITION_LOOKUP
What is the best diet for controlling polycystic ovary syndrome?,HEALTH_ADVICE
Does chia seeds have enough total fat to help with hypothyroidism?,BOTH
Should someone with high blood pressure eat asparagus given its calcium content?,BOTH
What dietary changes help with elevated LDL cholesterol?,HEALTH_ADVICE
What is the carbohydrates breakdown for olive oil?,NUTRITION_LOOKUP
How does kale's selenium level relate to GERD?,BOTH
What role does the potassium in mozzarella play for people with obesity?,BOTH
Does cucumber have enough cholesterol to help with anemia?,BOTH
How much vitamin D does duck contain per serving?,NUTRITION_LOOKUP
Diet recommendations for irritable bowel syndrome patients?,HEALTH_ADVICE
How much folate is in 100g of pasta and is that good for iron-deficiency anemia?,BOTH
What dietary changes help with anemia?,HEALTH_ADVICE
Give me the thiamine value for two tablespoons of apples.,NUTRITION_LOOKUP
How does plain yogurt's vitamin A level relate to elevated LDL cholesterol?,BOTH
Does grapes have a lot of thiamine?,NUTRITION_LOOKUP
How much vitamin A does oranges contain per serving?,NUTRITION_LOOKUP
Can eating eggs help with metabolic syndrome?,HEALTH_ADVICE
How does diet affect PCOS?,HEALTH_ADVICE
How does diet affect elevated LDL cholesterol?,HEALTH_ADVICE
How does edamame's vitamin D level relate to rheumatoid arthritis?,BOTH
What dietary changes help with gestational diabetes?,HEALTH_ADVICE
What is the vitamin D macro for shrimp?,NUTRITION_LOOKUP
Is garlic recommended for osteoporosis? What is its niacin content per serving?,BOTH
Can skim milk help control osteoporosis because of its thiamine?,BOTH
Does dark chocolate have enough calories to help with iron-deficiency anemia?,BOTH
Are grains good for someone with anxiety?,HEALTH_ADVICE
What role does the folate in cashews play for people with cardiovascular disease?,BOTH
How does the phosphorus in salmon compare to the daily requirement?,NUTRITION_LOOKUP
How does cod's vitamin C level relate to chronic kidney disease?,BOTH
What fruits are safe for diabetes patients?,HEALTH_ADVICE
I need the vitamin A count for crab.,NUTRITION_LOOKUP
What proteins are best for a person with anxiety?,HEALTH_ADVICE
How many grams of fiber are in almonds?,NUTRITION_LOOKUP
What dietary changes help with celiac disease?,HEALTH_ADVICE
How does the vitamin A in blueberries compare to the daily requirement?,NUTRITION_LOOKUP
How does the calcium in edamame compare to the daily requirement?,NUTRITION_LOOKUP
What is the nutritional value of kale in terms of carbohydrates?,NUTRITION_LOOKUP
What are the total fat levels in zucchini?,NUTRITION_LOOKUP
How many carbohydrates calories does whole milk have?,NUTRITION_LOOKUP
What eating habits help manage GERD?,HEALTH_ADVICE
Can eating tuna help with metabolic syndrome?,HEALTH_ADVICE
What are the riboflavin levels in cod?,NUTRITION_LOOKUP
What foods should people with fatty liver disease avoid?,HEALTH_ADVICE
Best foods for managing rheumatoid arthritis?,HEALTH_ADVICE
How does eating kidney beans affect anemia given its high omega-3 fatty acids content?,BOTH
I need the protein count for olive oil.,NUTRITION_LOOKUP
What role does the vitamin B12 in coconut oil play for people with type 1 diabetes?,BOTH
Are grains good for someone with depression?,HEALTH_ADVICE
What role does the carbohydrates in almond butter play for people with gastritis?,BOTH
Is the phosphorus content of onions beneficial or harmful for type 1 diabetes?,BOTH
Is strawberries high in cholesterol and beneficial for hypertension?,BOTH
What dietary changes help with high blood pressure?,HEALTH_ADVICE
What role does the fiber in dark chocolate play for people with anxiety?,BOTH
What is the zinc macro for soybeans?,NUTRITION_LOOKUP
How does diet affect gout?,HEALTH_ADVICE
What snacks are suitable for someone with coronary artery disease?,HEALTH_ADVICE
Is a low-carb diet good for irritable bowel syndrome?,HEALTH_ADVICE
What foods help reduce symptoms of lactose intolerance?,HEALTH_ADVICE
What are the thiamine levels in shrimp?,NUTRITION_LOOKUP
What is the total zinc per one piece of kiwi?,NUTRITION_LOOKUP
Is asparagus a good source of selenium for people with metabolic syndrome?,BOTH
How does the vitamin A in whole wheat bread compare to the daily requirement?,NUTRITION_LOOKUP
How many omega-3 fatty acids are in white bread and is it safe for hyperthyroidism?,BOTH
Can eating green peas help with metabolic syndrome?,HEALTH_ADVICE
Does pinto beans have a lot of niacin?,NUTRITION_LOOKUP
How much omega-3 fatty acids is there in a 150g portion of spinach?,NUTRITION_LOOKUP
Is skim milk high in calories and beneficial for hypertension?,BOTH
Does almonds have a lot of riboflavin?,NUTRITION_LOOKUP
Is plain yogurt high in selenium?,NUTRITION_LOOKUP
How does pinto beans's fiber level relate to insomnia?,BOTH
Should someone with anxiety eat cucumber given its vitamin D content?,BOTH
Does butter have enough vitamin B12 to help with obesity?,BOTH
How many sugar calories does oranges have?,NUTRITION_LOOKUP
What makes tempeh suitable or unsuitable for high cholesterol based on its magnesium?,BOTH
What fruits are safe for PCOS patients?,HEALTH_ADVICE
How does diet affect arthritis?,HEALTH_ADVICE
What percentage of daily zinc is in sweet potatoes?,NUTRITION_LOOKUP
What is a healthy diet for someone with GERD?,HEALTH_ADVICE
Does onions have a lot of phosphorus?,NUTRITION_LOOKUP
What is the exact potassium in one cup strawberries?,NUTRITION_LOOKUP
Can you tell me the protein in a small bowl of almond butter?,NUTRITION_LOOKUP
What proteins are best for a person with gout attacks?,HEALTH_ADVICE
Is it safe to eat tilapia with anxiety?,HEALTH_ADVICE
Is barley high in vitamin D and beneficial for type 1 diabetes?,BOTH
Is flaxseeds high in saturated fat?,NUTRITION_LOOKUP
Is oranges recommended or not recommended for gout?,HEALTH_ADVICE
"For hyperthyroidism management, how much cottage cheese can I eat given its vitamin D content?",BOTH
What is the total calcium per one piece of skim milk?,NUTRITION_LOOKUP
I need the vitamin A count for almonds.,NUTRITION_LOOKUP
Is potatoes a good source of vitamin A for people with hypertension?,BOTH
Can eating pork loin help with cardiovascular disease?,HEALTH_ADVICE
Does Greek yogurt have a lot of protein?,NUTRITION_LOOKUP
How many grams of omega-3 fatty acids are in kale?,NUTRITION_LOOKUP
What is a healthy diet for someone with hyperthyroidism?,HEALTH_ADVICE
Which foods are beneficial for people with depression?,HEALTH_ADVICE
Is garlic high in vitamin B12 and beneficial for polycystic ovary syndrome?,BOTH
"For high cholesterol management, how much carrots can I eat given its iron content?",BOTH
Best foods for managing heart disease?,HEALTH_ADVICE
Is peaches high in fiber?,NUTRITION_LOOKUP
How should someone with lactose intolerance adjust their diet?,HEALTH_ADVICE
How many cholesterol calories does kale have?,NUTRITION_LOOKUP
How many grams of protein are in sunflower seeds?,NUTRITION_LOOKUP
What vegetables are recommended for anemia?,HEALTH_ADVICE
What should I eat if I have gout?,HEALTH_ADVICE
Can eggs help control coronary artery disease because of its iron?,BOTH
Is turkey breast recommended for cardiovascular disease? What is its omega-3 fatty acids content per serving?,BOTH
Is the sodium level in grapes appropriate for someone with coronary artery disease?,BOTH
Is the sugar content of almond butter beneficial or harmful for iron-deficiency anemia?,BOTH
How does eating lamb affect gestational diabetes given its high vitamin A content?,BOTH
Should I avoid zucchini if I have high cholesterol?,HEALTH_ADVICE
Is black beans recommended for insomnia? What is its sugar content per serving?,BOTH
Is the folate content of flaxseeds beneficial or harmful for chronic kidney disease?,BOTH
Is a handful of of olive oil too much vitamin A for a metabolic syndrome patient?,BOTH
Should someone with anemia eat beets given its folate content?,BOTH
Does watermelon have a lot of fiber?,NUTRITION_LOOKUP
What role does the calories in lobster play for people with rheumatoid arthritis?,BOTH
Can polycystic ovary syndrome patients eat sweet potatoes? What is the magnesium content?,BOTH
Can you tell me the potassium in one piece of shrimp?,NUTRITION_LOOKUP
What snacks are suitable for someone with hypothyroidism?,HEALTH_ADVICE
How does dark chocolate's carbohydrates level relate to hypertension?,BOTH
What proteins are best for a person with low blood pressure?,HEALTH_ADVICE
What is the riboflavin macro for asparagus?,NUTRITION_LOOKUP
How many riboflavin calories does lentils have?,NUTRITION_LOOKUP
How does cucumber's potassium level relate to gout?,BOTH
How many folate are in pineapple and is it safe for chronic kidney disease?,BOTH
Should someone with depression limit dairy intake?,HEALTH_ADVICE
What fruits are safe for hypothyroidism patients?,HEALTH_ADVICE
Is the fiber level in black beans appropriate for someone with irritable bowel syndrome?,BOTH
Is onions recommended or not recommended for metabolic syndrome?,HEALTH_ADVICE
How does eating mozzarella affect GERD given its high phosphorus content?,BOTH
Is bananas recommended or not recommended for metabolic syndrome?,HEALTH_ADVICE
How many grams of iron are in apples?,NUTRITION_LOOKUP
Is pumpkin seeds good for fatty liver disease? How much riboflavin does it contain?,BOTH
What vegetables are recommended for gestational diabetes?,HEALTH_ADVICE
Is tomatoes high in calcium?,NUTRITION_LOOKUP
How many iron are in a small bowl of almonds?,NUTRITION_LOOKUP
How many grams of thiamine are in plain yogurt?,NUTRITION_LOOKUP
I need the saturated fat count for almond butter.,NUTRITION_LOOKUP
Is the omega-6 fatty acids level in quinoa appropriate for someone with arthritis?,BOTH
Is black beans a good source of vitamin B12 for people with gestational diabetes?,BOTH
How many grams of total fat are in beets?,NUTRITION_LOOKUP
Diet recommendations for fatty liver disease patients?,HEALTH_ADVICE
Is black beans high in protein and beneficial for PCOS?,BOTH
Can black beans help control type 1 diabetes because of its zinc?,BOTH
Can you tell me the folate in a small bowl of turkey breast?,NUTRITION_LOOKUP
Is tofu recommended for diabetes? What is its protein content per serving?,BOTH
What role does the riboflavin in pasta play for people with insomnia?,BOTH
How does sardines's zinc level relate to chronic kidney disease?,BOTH
Can people with rheumatoid arthritis eat coconut oil?,HEALTH_ADVICE
"For osteoporosis management, how much pinto beans can I eat given its vitamin A content?",BOTH
Can the zinc in skim milk benefit irritable bowel syndrome patients?,BOTH
Can type 1 diabetes patients eat kale? What is the fiber content?,BOTH
What is the phosphorus in sardines and is it good for gestational diabetes?,BOTH
What is the exact niacin in one serving quinoa?,NUTRITION_LOOKUP
Is potatoes recommended for type 1 diabetes? What is its sugar content per serving?,BOTH
Should I avoid celery if I have type 1 diabetes?,HEALTH_ADVICE
"For hypertension management, how much whole wheat bread can I eat given its fiber content?",BOTH
Can sardines help control inflammatory bowel disease because of its omega-3 fatty acids?,BOTH
What makes skim milk suitable or unsuitable for gastritis based on its phosphorus?,BOTH
Best foods for managing inflammatory bowel disease?,HEALTH_ADVICE
Can you tell me the protein in one serving of bananas?,NUTRITION_LOOKUP
How does diet affect high blood pressure?,HEALTH_ADVICE
Is the saturated fat level in dark chocolate appropriate for someone with coronary artery disease?,BOTH
What proteins are best for a person with heart disease?,HEALTH_ADVICE
Is the vitamin B12 content of walnuts beneficial or harmful for coronary artery disease?,BOTH
Is it safe to eat blueberries with irritable bowel syndrome?,HEALTH_ADVICE
Can you tell me the calories in one serving of lentils?,NUTRITION_LOOKUP
How much total fat is in one cup of chia seeds and is that good for iron-deficiency anemia?,BOTH
How many grams of fiber are in beets?,NUTRITION_LOOKUP
How much calcium does kale contain per serving?,NUTRITION_LOOKUP
Can people with elevated LDL cholesterol eat spinach?,HEALTH_ADVICE
What foods should people with type 2 diabetes avoid?,HEALTH_ADVICE
How should someone with rheumatoid arthritis adjust their diet?,HEALTH_ADVICE
What is the best diet for controlling hypothyroidism?,HEALTH_ADVICE
How many omega-3 fatty acids calories does lamb have?,NUTRITION_LOOKUP
"For cardiovascular disease management, how much white rice can I eat given its sodium content?",BOTH
Is the thiamine level in cheddar cheese appropriate for someone with anxiety?,BOTH
Is chickpeas high in saturated fat and beneficial for gluten intolerance?,BOTH
How much zinc is there in a 150g portion of lobster?,NUTRITION_LOOKUP
What are the thiamine levels in potatoes?,NUTRITION_LOOKUP
Best foods for managing lactose intolerance?,HEALTH_ADVICE
What is the iron macro for walnuts?,NUTRITION_LOOKUP
How rich is zucchini in calcium?,NUTRITION_LOOKUP
How rich is cucumber in carbohydrates?,NUTRITION_LOOKUP
Is almond butter a good source of zinc for people with heart disease?,BOTH
Which foods are beneficial for people with heart disease?,HEALTH_ADVICE
How does lentils's sodium level relate to hypertension?,BOTH
Does pinto beans have a lot of calcium?,NUTRITION_LOOKUP
What snacks are suitable for someone with kidney disease?,HEALTH_ADVICE
Can eating Greek yogurt help with arthritis?,HEALTH_ADVICE
Best foods for managing low blood pressure?,HEALTH_ADVICE
Should someone with type 2 diabetes limit dairy intake?,HEALTH_ADVICE
Diet recommendations for insomnia patients?,HEALTH_ADVICE
What dietary changes help with obesity?,HEALTH_ADVICE
Diet recommendations for rheumatoid arthritis patients?,HEALTH_ADVICE
How many phosphorus are in cashews and is it safe for elevated LDL cholesterol?,BOTH
Should I avoid chicken breast if I have kidney disease?,HEALTH_ADVICE
Give me the protein value for one tablespoon of kidney beans.,NUTRITION_LOOKUP
What is the best diet for controlling chronic kidney disease?,HEALTH_ADVICE
What is the total vitamin D per 100g of almonds?,NUTRITION_LOOKUP
Should someone with insomnia eat pork loin given its omega-6 fatty acids content?,BOTH
What is the total vitamin A per one ounce of spinach?,NUTRITION_LOOKUP
What is a healthy diet for someone with gluten intolerance?,HEALTH_ADVICE
Which foods are beneficial for people with type 2 diabetes?,HEALTH_ADVICE
Can eating mushrooms help with inflammatory bowel disease?,HEALTH_ADVICE
Which foods are beneficial for people with low blood pressure?,HEALTH_ADVICE
What proteins are best for a person with hyperthyroidism?,HEALTH_ADVICE
Is avocado high in omega-6 fatty acids?,NUTRITION_LOOKUP
Should someone with gout eat carrots given its vitamin D content?,BOTH
What is the zinc content of blueberries?,NUTRITION_LOOKUP
How much vitamin B12 is in a medium portion of strawberries and is that good for diabetes?,BOTH
Is cashews recommended for GERD? What is its vitamin A content per serving?,BOTH
Are there foods that worsen chronic kidney disease?,HEALTH_ADVICE
How does the cholesterol in chicken breast compare to the daily requirement?,NUTRITION_LOOKUP
Is chicken breast recommended for hypothyroidism? What is its riboflavin content per serving?,BOTH
Is whole wheat bread good for metabolic syndrome? How much niacin does it contain?,BOTH
Can eating grapes help with fatty liver disease?,HEALTH_ADVICE
How many grams of saturated fat are in oranges?,NUTRITION_LOOKUP
Can eating grapes help with depression?,HEALTH_ADVICE
Are there foods that worsen diabetes?,HEALTH_ADVICE
Give me the omega-6 fatty acids value for 100g of grapes.,NUTRITION_LOOKUP
How should someone with gluten intolerance adjust their diet?,HEALTH_ADVICE
Are grains good for someone with inflammatory bowel disease?,HEALTH_ADVICE
Is chia seeds good for type 2 diabetes? How much sugar does it contain?,BOTH
What is the folate in dark chocolate and is it good for type 1 diabetes?,BOTH
How many grams of omega-6 fatty acids are in chia seeds?,NUTRITION_LOOKUP
Is sardines good for high cholesterol? How much selenium does it contain?,BOTH
Can the sodium in lamb benefit GERD patients?,BOTH
Can type 1 diabetes patients eat crab? What is the fiber content?,BOTH
What dietary changes help with anxiety?,HEALTH_ADVICE
Is the riboflavin level in chicken breast appropriate for someone with rheumatoid arthritis?,BOTH
How much magnesium is there in a handful of of beef?,NUTRITION_LOOKUP
Is the saturated fat level in dark chocolate appropriate for someone with elevated LDL cholesterol?,BOTH
How many calories calories does flaxseeds have?,NUTRITION_LOOKUP
What foods help reduce symptoms of elevated LDL cholesterol?,HEALTH_ADVICE
How many magnesium are in a small bowl of white bread?,NUTRITION_LOOKUP
What percentage of daily vitamin D is in cod?,NUTRITION_LOOKUP
What are the saturated fat levels in quinoa?,NUTRITION_LOOKUP
How much vitamin B12 is in a medium portion of mango and is that good for low blood pressure?,BOTH
How much vitamin B12 is in 200 calories worth of watermelon and is that good for depression?,BOTH
How much riboflavin does tomatoes contain per serving?,NUTRITION_LOOKUP
Is kale high in selenium and beneficial for gestational diabetes?,BOTH
What is the magnesium macro for sweet potatoes?,NUTRITION_LOOKUP
Is the folate content of watermelon beneficial or harmful for hypothyroidism?,BOTH
What are the omega-6 fatty acids levels in garlic?,NUTRITION_LOOKUP
Is the carbohydrates content of tempeh beneficial or harmful for gout?,BOTH
How does the phosphorus in barley compare to the daily requirement?,NUTRITION_LOOKUP
What makes cabbage suitable or unsuitable for metabolic syndrome based on its vitamin B12?,BOTH
Can the omega-3 fatty acids in bananas benefit fatty liver disease patients?,BOTH
"For gastritis management, how much blueberries can I eat given its total fat content?",BOTH
Can eating potatoes help with type 2 diabetes?,HEALTH_ADVICE
What is the best diet for controlling inflammatory bowel disease?,HEALTH_ADVICE
How does diet affect diabetes?,HEALTH_ADVICE
How much fiber is there in a 150g portion of oranges?,NUTRITION_LOOKUP
What is the vitamin D in peanut butter and is it good for inflammatory bowel disease?,BOTH
What is the total zinc per half a cup of sardines?,NUTRITION_LOOKUP
How many calcium are in a handful of of white bread?,NUTRITION_LOOKUP
What are the cholesterol levels in whole milk?,NUTRITION_LOOKUP
What is the best diet for controlling elevated LDL cholesterol?,HEALTH_ADVICE
Are there foods that worsen fatty liver disease?,HEALTH_ADVICE
How does eating cottage cheese affect metabolic syndrome given its high omega-3 fatty acids content?,BOTH
Is cabbage recommended for chronic kidney disease? What is its niacin content per serving?,BOTH
How does quinoa's vitamin A level relate to rheumatoid arthritis?,BOTH
Is carrots a good source of iron for people with GERD?,BOTH
How does diet affect kidney disease?,HEALTH_ADVICE
Is it safe to eat garlic with depression?,HEALTH_ADVICE
What proteins are best for a person with cardiovascular disease?,HEALTH_ADVICE
What fruits are safe for coronary artery disease patients?,HEALTH_ADVICE
Is peanuts recommended for gout? What is its zinc content per serving?,BOTH
Does sweet potatoes have enough folate to help with celiac disease?,BOTH
